64 bytes from 34.125.29.204: icmp_seq=38 ttl=59 time=271 ms
64 bytes from 34.125.29.204: icmp_seq=39 ttl=59 time=190 ms
64 bytes from 34.125.29.204: icmp_seq=40 ttl=59 time=212 ms
64 bytes from 34.125.29.204: icmp_seq=41 ttl=59 time=235 ms
64 bytes from 34.125.29.204: icmp_seq=42 ttl=59 time=258 ms
64 bytes from 34.125.29.204: icmp_seq=43 ttl=59 time=281 ms
64 bytes from 34.125.29.204: icmp_seq=44 ttl=59 time=201 ms
64 bytes from 34.125.29.204: icmp_seq=45 ttl=59 time=224 ms
64 bytes from 34.125.29.204: icmp_seq=46 ttl=59 time=247 ms
64 bytes from 34.125.29.204: icmp_seq=47 ttl=59 time=269 ms
64 bytes from 34.125.29.204: icmp_seq=48 ttl=59 time=292 ms
64 bytes from 34.125.29.204: icmp_seq=49 ttl=59 time=214 ms
64 bytes from 34.125.29.204: icmp_seq=50 ttl=59 time=236 ms
64 bytes from 34.125.29.204: icmp_seq=51 ttl=59 time=259 ms
64 bytes from 34.125.29.204: icmp_seq=52 ttl=59 time=281 ms
64 bytes from 34.125.29.204: icmp_seq=53 ttl=59 time=349 ms
64 bytes from 34.125.29.204: icmp_seq=54 ttl=59 time=224 ms
64 bytes from 34.125.29.204: icmp_seq=55 ttl=59 time=354 ms
64 bytes from 34.125.29.204: icmp_seq=56 ttl=59 time=270 ms
64 bytes from 34.125.29.204: icmp_seq=57 ttl=59 time=191 ms
64 bytes from 34.125.29.204: icmp_seq=58 ttl=59 time=214 ms
64 bytes from 34.125.29.204: icmp_seq=59 ttl=59 time=237 ms
64 bytes from 34.125.29.204: icmp_seq=60 ttl=59 time=260 ms
64 bytes from 34.125.29.204: icmp_seq=61 ttl=59 time=283 ms
64 bytes from 34.125.29.204: icmp_seq=62 ttl=59 time=205 ms
64 bytes from 34.125.29.204: icmp_seq=63 ttl=59 time=187 ms
64 bytes from 34.125.29.204: icmp_seq=64 ttl=59 time=249 ms
64 bytes from 34.125.29.204: icmp_seq=65 ttl=59 time=273 ms
64 bytes from 34.125.29.204: icmp_seq=66 ttl=59 time=193 ms
64 bytes from 34.125.29.204: icmp_seq=67 ttl=59 time=186 ms
64 bytes from 34.125.29.204: icmp_seq=68 ttl=59 time=238 ms
64 bytes from 34.125.29.204: icmp_seq=69 ttl=59 time=260 ms
64 bytes from 34.125.29.204: icmp_seq=70 ttl=59 time=283 ms
64 bytes from 34.125.29.204: icmp_seq=71 ttl=59 time=205 ms
64 bytes from 34.125.29.204: icmp_seq=72 ttl=59 time=226 ms
64 bytes from 34.125.29.204: icmp_seq=73 ttl=59 time=249 ms
64 bytes from 34.125.29.204: icmp_seq=74 ttl=59 time=272 ms
64 bytes from 34.125.29.204: icmp_seq=75 ttl=59 time=296 ms
64 bytes from 34.125.29.204: icmp_seq=76 ttl=59 time=218 ms
64 bytes from 34.125.29.204: icmp_seq=77 ttl=59 time=240 ms
64 bytes from 34.125.29.204: icmp_seq=78 ttl=59 time=262 ms
64 bytes from 34.125.29.204: icmp_seq=79 ttl=59 time=186 ms
64 bytes from 34.125.29.204: icmp_seq=80 ttl=59 time=207 ms
64 bytes from 34.125.29.204: icmp_seq=81 ttl=59 time=230 ms
64 bytes from 34.125.29.204: icmp_seq=82 ttl=59 time=253 ms
64 bytes from 34.125.29.204: icmp_seq=83 ttl=59 time=277 ms
64 bytes from 34.125.29.204: icmp_seq=84 ttl=59 time=200 ms
64 bytes from 34.125.29.204: icmp_seq=85 ttl=59 time=226 ms
64 bytes from 34.125.29.204: icmp_seq=86 ttl=59 time=244 ms
64 bytes from 34.125.29.204: icmp_seq=87 ttl=59 time=267 ms
64 bytes from 34.125.29.204: icmp_seq=88 ttl=59 time=291 ms
64 bytes from 34.125.29.204: icmp_seq=89 ttl=59 time=213 ms
64 bytes from 34.125.29.204: icmp_seq=90 ttl=59 time=236 ms
64 bytes from 34.125.29.204: icmp_seq=91 ttl=59 time=257 ms
64 bytes from 34.125.29.204: icmp_seq=92 ttl=59 time=281 ms
64 bytes from 34.125.29.204: icmp_seq=93 ttl=59 time=202 ms
64 bytes from 34.125.29.204: icmp_seq=94 ttl=59 time=187 ms
64 bytes from 34.125.29.204: icmp_seq=95 ttl=59 time=249 ms
64 bytes from 34.125.29.204: icmp_seq=96 ttl=59 time=272 ms
64 bytes from 34.125.29.204: icmp_seq=97 ttl=59 time=193 ms
64 bytes from 34.125.29.204: icmp_seq=98 ttl=59 time=217 ms
64 bytes from 34.125.29.204: icmp_seq=99 ttl=59 time=240 ms
64 bytes from 34.125.29.204: icmp_seq=100 ttl=59 time=265 ms

--- 34.125.29.204 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99119ms
rtt min/avg/max/mdev = 183.991/240.182/354.192/35.310 ms
---------------------------------------------------------------
